ticker,date,open,high,low,close,adj_close,volume
AAPL,2026-09-14,99.50,100.50,99.00,100.00,100.00,50000000
AAPL,2026-09-15,100.00,102.50,99.80,102.00,102.00,52000000
AAPL,2026-09-16,102.00,102.20,98.50,99.00,99.00,61000000
AAPL,2026-09-17,99.20,101.30,99.00,101.00,101.00,48000000
AAPL,2026-09-18,101.00,104.50,100.80,104.00,104.00,55000000
SPY,2026-09-14,499.00,501.00,498.50,500.00,500.00,70000000
SPY,2026-09-15,500.50,506.00,500.00,505.00,505.00,72000000
SPY,2026-09-16,504.00,505.00,498.00,500.00,500.00,80000000
SPY,2026-09-17,500.00,511.00,499.50,510.00,510.00,68000000
SPY,2026-09-18,510.00,516.00,509.00,515.00,515.00,71000000
